GRADE,생산성,기초,생산,내수,수출,판매,이동,자가,기말,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
BI710/SN,"1,103",196,504,0,636,636,0,0,64,0,0,0,0,0,0,0,0,0,0,0,201,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI750/SN,"1,080",913,"1,402",45,"2,075","2,120",0,50,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,044",358,0,0,0,0
BI850/SN,"1,103","1,642","2,016",466,"2,505","2,971",0,198,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,971,0,0,0,0,0,38,454,0,0,0,0,0,0,0
BI850E/SN,"1,127",96,101,0,5,5,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0
BI871/SN,"1,007",715,"1,357",0,"1,013","1,013",0,561,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,412,0,0,0,0,0,0,0,0
BI961/SN,"1,080","1,014","1,099",7,"1,935","1,942",0,78,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,470,0,0,0,0,500,0,0,0,0,0,0,0,0
BI962/SN,"1,079",19,447,100,0,100,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0
BI966/SN,"1,031",1,656,130,0,130,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,512,0,0,0,0,0,0,0,0,0,0,0,0
BI980/SN,"1,007",466,147,0,360,360,154,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0
BI986/SN,"1,007",272,962,138,0,138,0,314,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,609,0,0,0,0,0,0,0,0,0,0,0
BI991/SN,"1,007",236,111,0,0,0,0,119,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,64,0,0,0,0,0,0,0,0,0
BI995/SN,"1,007",333,352,45,145,190,0,137,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,-51,0,0,0,0,0,0,0,0,0,0
BI997/SN,"1,007",387,689,14,700,714,0,191,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,0,0,0,0,0
BJ350/SN,"1,007",627,"1,670",125,"2,072","2,197",154,1,-55,-85,0,0,0,0,0,0,283,995,544,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ355/SN,"1,103",590,121,0,66,66,0,0,645,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ520/SN,"1,103",511,"1,230",325,22,347,0,0,"1,394",0,0,0,0,0,0,0,0,0,364,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ550/SN,"1,127",524,"1,961",117,"1,268","1,386",0,89,"1,010",0,0,0,0,0,0,0,0,0,0,256,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,-96,541,294,0
BJ600/SN,"1,127",339,136,53,98,151,0,0,324,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0
